商品コード,メーカー,ヘッドモデル,販売価格,シャフトモデル,シャフト,メーカーフレックス,クラブ種別,番手,状態（総合ランク）ランクについて,補足コメント,ヘッド上部,ヘッド下部,フェース,フレックス,発売時クラブセット組合せ内容,グリップ,本商品クラブセット組合せ内容,ヘッドカバー,クラブセット実本数,年式,お店からのコメント/商品状態,ヘッドロフト角(°),クラブ重量(g),ヘッドライ角(°),利き手,ヘッド体積(cc),シャフト長(インチ),性別,店舗名,住所,電話番号
2100370995161,タイトリスト,８１６　Ｈ１　２３°,13178,Ｔｉｔｌｅｉｓｔ　ＭＣＩ　７０,Ｂ,Ｓ,ユーティリティ,ＵＴ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,23.00,370.00,59.00,スタンダード,,39.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100370995161,タイトリスト,８１６　Ｈ１　２３°,13178,Ｔｉｔｌｅｉｓｔ　ＭＣＩ　７０,Ｂ,Ｓ,ユーティリティ,ＵＴ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,23.00,370.00,59.00,スタンダード,,39.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100370995161,タイトリスト,８１６　Ｈ１　２３°,13178,Ｔｉｔｌｅｉｓｔ　ＭＣＩ　７０,Ｂ,Ｓ,ユーティリティ,ＵＴ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,23.00,370.00,59.00,スタンダード,,39.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100370995178,タイトリスト,８１６　Ｈ１　２５°,13178,Ｔｉｔｌｅｉｓｔ　ＭＣＩ　７０,Ｂ,Ｓ,ユーティリティ,ＵＴ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,25.00,375.00,59.50,スタンダード,,39.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100370995178,タイトリスト,８１６　Ｈ１　２５°,13178,Ｔｉｔｌｅｉｓｔ　ＭＣＩ　７０,Ｂ,Ｓ,ユーティリティ,ＵＴ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,25.00,375.00,59.50,スタンダード,,39.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100370995178,タイトリスト,８１６　Ｈ１　２５°,13178,Ｔｉｔｌｅｉｓｔ　ＭＣＩ　７０,Ｂ,Ｓ,ユーティリティ,ＵＴ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,25.00,375.00,59.50,スタンダード,,39.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100371351669,タイトリスト,９１７　Ｆ２　１８°,8778,Ｔｉｔｌｅｉｓｔ　Ｓｐｅｅｄｅｒ　５１７,Ｂ,ＳＲ,フェアウェイウッド,ＦＷ,C,,Ｃ,Ｃ,Ｃ,ＳＲ,,オリジナル外　傷あり(交換必要),,ヘッドカバーなし,0,,,18.00,319.00,58.00,スタンダード,,42.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100371351669,タイトリスト,９１７　Ｆ２　１８°,8778,Ｔｉｔｌｅｉｓｔ　Ｓｐｅｅｄｅｒ　５１７,Ｂ,ＳＲ,フェアウェイウッド,ＦＷ,C,,Ｃ,Ｃ,Ｃ,ＳＲ,,オリジナル外　傷あり(交換必要),,ヘッドカバーなし,0,,,18.00,319.00,58.00,スタンダード,,42.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100371351669,タイトリスト,９１７　Ｆ２　１８°,8778,Ｔｉｔｌｅｉｓｔ　Ｓｐｅｅｄｅｒ　５１７,Ｂ,ＳＲ,フェアウェイウッド,ＦＷ,C,,Ｃ,Ｃ,Ｃ,ＳＲ,,オリジナル外　傷あり(交換必要),,ヘッドカバーなし,0,,,18.00,319.00,58.00,スタンダード,,42.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100359075105,キャロウェイ,ＡＰＥＸ（２０１５）　　６Ｓ（実本数：６本セット）,46178,ＮＳ　ＰＲＯ　９５０ＧＨ,Ｂ,Ｒ,アイアンセット,５Ｉ,C,,Ｃ,Ｃ,Ｃ,Ｒ,５Ｉ．６Ｉ．７Ｉ．８Ｉ．９Ｉ．ＰＷ,オリジナル　良好,５Ｉ，６Ｉ，７Ｉ，８Ｉ，９Ｉ，ＰＷ,ヘッドカバーなし,6,,,24.00,404.00,61.00,スタンダード,,38.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100359075105,キャロウェイ,ＡＰＥＸ（２０１５）　　６Ｓ（実本数：６本セット）,46178,ＮＳ　ＰＲＯ　９５０ＧＨ,Ｂ,Ｒ,アイアンセット,５Ｉ,C,,Ｃ,Ｃ,Ｃ,Ｒ,５Ｉ．６Ｉ．７Ｉ．８Ｉ．９Ｉ．ＰＷ,オリジナル　良好,５Ｉ，６Ｉ，７Ｉ，８Ｉ，９Ｉ，ＰＷ,ヘッドカバーなし,6,,,24.00,404.00,61.00,スタンダード,,38.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100359075105,キャロウェイ,ＡＰＥＸ（２０１５）　　６Ｓ（実本数：６本セット）,46178,ＮＳ　ＰＲＯ　９５０ＧＨ,Ｂ,Ｒ,アイアンセット,５Ｉ,C,,Ｃ,Ｃ,Ｃ,Ｒ,５Ｉ．６Ｉ．７Ｉ．８Ｉ．９Ｉ．ＰＷ,オリジナル　良好,５Ｉ，６Ｉ，７Ｉ，８Ｉ，９Ｉ，ＰＷ,ヘッドカバーなし,6,,,24.00,404.00,61.00,スタンダード,,38.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100369854493,キャロウェイ,ＡＰＥＸ（２０２１）　Ｕ４,17578,Ｄｉａｍａｎａ　５５　ｆｏｒ　ＣＷ（２０２１　ＡＰＥＸ　ＵＴ）,Ｂ,Ｓ,ユーティリティ,４Ｕ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,2021,,21.00,,59.00,スタンダード,122,40.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100369854493,キャロウェイ,ＡＰＥＸ（２０２１）　Ｕ４,17578,Ｄｉａｍａｎａ　５５　ｆｏｒ　ＣＷ（２０２１　ＡＰＥＸ　ＵＴ）,Ｂ,Ｓ,ユーティリティ,４Ｕ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,2021,,21.00,,59.00,スタンダード,122,40.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100369854493,キャロウェイ,ＡＰＥＸ（２０２１）　Ｕ４,17578,Ｄｉａｍａｎａ　５５　ｆｏｒ　ＣＷ（２０２１　ＡＰＥＸ　ＵＴ）,Ｂ,Ｓ,ユーティリティ,４Ｕ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,2021,,21.00,,59.00,スタンダード,122,40.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100367516683,コブラ,Ｂａｆｆｌｅｒ　Ｒａｉｌ　Ｈ　４／Ｈ,8778,Ｍｏｔｏｒｅ　Ｂａｆｆｌｅｒ　Ｒａｉｌ　Ｈ,Ｂ,Ｒ,ユーティリティ,４Ｕ,C,,Ｃ,Ｃ,Ｃ,Ｒ,,オリジナル　良好,,ヘッドカバーなし,0,,,22.00,356.00,59.50,スタンダード,109,40.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100367516683,コブラ,Ｂａｆｆｌｅｒ　Ｒａｉｌ　Ｈ　４／Ｈ,8778,Ｍｏｔｏｒｅ　Ｂａｆｆｌｅｒ　Ｒａｉｌ　Ｈ,Ｂ,Ｒ,ユーティリティ,４Ｕ,C,,Ｃ,Ｃ,Ｃ,Ｒ,,オリジナル　良好,,ヘッドカバーなし,0,,,22.00,356.00,59.50,スタンダード,109,40.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100367516683,コブラ,Ｂａｆｆｌｅｒ　Ｒａｉｌ　Ｈ　４／Ｈ,8778,Ｍｏｔｏｒｅ　Ｂａｆｆｌｅｒ　Ｒａｉｌ　Ｈ,Ｂ,Ｒ,ユーティリティ,４Ｕ,C,,Ｃ,Ｃ,Ｃ,Ｒ,,オリジナル　良好,,ヘッドカバーなし,0,,,22.00,356.00,59.50,スタンダード,109,40.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100355625557,ロイヤルコレクション,ＢＢＤ’ｓ　ＴＲＣ　Ｕ２,3289,純正特注シャフト,Ｂ,Ｘ,ユーティリティ,２Ｕ,C,Fujikura　Motore　speeder VVC8.1　X,Ｃ,Ｃ,Ｃ,Ｘ,,オリジナル外　良好,,ヘッドカバーなし,0,,Fujikura　Motore　speeder VVC8.1　X,18.00,,59.50,スタンダード,,,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100355625557,ロイヤルコレクション,ＢＢＤ’ｓ　ＴＲＣ　Ｕ２,3289,純正特注シャフト,Ｂ,Ｘ,ユーティリティ,２Ｕ,C,Fujikura　Motore　speeder VVC8.1　X,Ｃ,Ｃ,Ｃ,Ｘ,,オリジナル外　良好,,ヘッドカバーなし,0,,Fujikura　Motore　speeder VVC8.1　X,18.00,,59.50,スタンダード,,,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100355625557,ロイヤルコレクション,ＢＢＤ’ｓ　ＴＲＣ　Ｕ２,3289,純正特注シャフト,Ｂ,Ｘ,ユーティリティ,２Ｕ,C,Fujikura　Motore　speeder VVC8.1　X,Ｃ,Ｃ,Ｃ,Ｘ,,オリジナル外　良好,,ヘッドカバーなし,0,,Fujikura　Motore　speeder VVC8.1　X,18.00,,59.50,スタンダード,,,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100369994021,ホンマゴルフ,ＢＥＲＥＳ　ＢＬＡＣＫ（２０２４）　　９．５°,65978,ＡＲＭＲＱ　ＦＸ　ＢＬＡＣＫ（ＤＲ）,Ｂ,Ｓ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(綺麗),0,,,9.50,,59.00,スタンダード,460,45.750,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100369994021,ホンマゴルフ,ＢＥＲＥＳ　ＢＬＡＣＫ（２０２４）　　９．５°,65978,ＡＲＭＲＱ　ＦＸ　ＢＬＡＣＫ（ＤＲ）,Ｂ,Ｓ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(綺麗),0,,,9.50,,59.00,スタンダード,460,45.750,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100369994021,ホンマゴルフ,ＢＥＲＥＳ　ＢＬＡＣＫ（２０２４）　　９．５°,65978,ＡＲＭＲＱ　ＦＸ　ＢＬＡＣＫ（ＤＲ）,Ｂ,Ｓ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(綺麗),0,,,9.50,,59.00,スタンダード,460,45.750,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100368520641,ホンマゴルフ,ＢＥＲＥＳ　ＭＧ８０１　＃３,3289,１Ｓ　ＡＲＭＲＱ　Ｂ５４,Ｂ,Ｓ,単品アイアン,３Ｉ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル外　良好,,ヘッドカバーなし,0,,,19.00,,59.10,スタンダード,,,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100368520641,ホンマゴルフ,ＢＥＲＥＳ　ＭＧ８０１　＃３,3289,１Ｓ　ＡＲＭＲＱ　Ｂ５４,Ｂ,Ｓ,単品アイアン,３Ｉ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル外　良好,,ヘッドカバーなし,0,,,19.00,,59.10,スタンダード,,,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100368520641,ホンマゴルフ,ＢＥＲＥＳ　ＭＧ８０１　＃３,3289,１Ｓ　ＡＲＭＲＱ　Ｂ５４,Ｂ,Ｓ,単品アイアン,３Ｉ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル外　良好,,ヘッドカバーなし,0,,,19.00,,59.10,スタンダード,,,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100360991418,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　　９°,32978,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５,Ｂ,Ｓ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,9.00,290.00,59.50,スタンダード,450,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100360991418,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　　９°,32978,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５,Ｂ,Ｓ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,9.00,290.00,59.50,スタンダード,450,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100360991418,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　　９°,32978,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５,Ｂ,Ｓ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,9.00,290.00,59.50,スタンダード,450,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100367008744,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　１０．５°,46178,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５,Ａ,ＳＲ,ドライバー,１Ｗ,A,,Ａ,Ａ,Ａ,ＳＲ,,オリジナル　良好,,純正品(綺麗),0,,,10.50,288.00,59.50,スタンダード,450,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100367008744,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　１０．５°,46178,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５,Ａ,ＳＲ,ドライバー,１Ｗ,A,,Ａ,Ａ,Ａ,ＳＲ,,オリジナル　良好,,純正品(綺麗),0,,,10.50,288.00,59.50,スタンダード,450,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100367008744,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　１０．５°,46178,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５,Ａ,ＳＲ,ドライバー,１Ｗ,A,,Ａ,Ａ,Ａ,ＳＲ,,オリジナル　良好,,純正品(綺麗),0,,,10.50,288.00,59.50,スタンダード,450,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100356553934,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　５Ｗ,21978,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５,Ｂ,Ｓ,フェアウェイウッド,５Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　傷なし,,純正品(綺麗),0,,,18.00,305.00,58.00,スタンダード,179,42.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100356553934,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　５Ｗ,21978,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５,Ｂ,Ｓ,フェアウェイウッド,５Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　傷なし,,純正品(綺麗),0,,,18.00,305.00,58.00,スタンダード,179,42.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100356553934,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　５Ｗ,21978,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５,Ｂ,Ｓ,フェアウェイウッド,５Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　傷なし,,純正品(綺麗),0,,,18.00,305.00,58.00,スタンダード,179,42.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100369994267,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　Ｕ４,21978,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５（ＵＴ）,Ｂ,Ｒ,ユーティリティ,４Ｕ,C,,Ｂ,Ｃ,Ｃ,Ｒ,,オリジナル　良好,,純正品(綺麗),0,,,22.00,327.00,58.50,スタンダード,135,40.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100369994267,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　Ｕ４,21978,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５（ＵＴ）,Ｂ,Ｒ,ユーティリティ,４Ｕ,C,,Ｂ,Ｃ,Ｃ,Ｒ,,オリジナル　良好,,純正品(綺麗),0,,,22.00,327.00,58.50,スタンダード,135,40.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100369994267,ホンマゴルフ,ＢＥＲＥＳ　ＮＸ　Ｕ４,21978,ＶＩＺＡＲＤ　ＦＯＲ　ＮＸ　４５（ＵＴ）,Ｂ,Ｒ,ユーティリティ,４Ｕ,C,,Ｂ,Ｃ,Ｃ,Ｒ,,オリジナル　良好,,純正品(綺麗),0,,,22.00,327.00,58.50,スタンダード,135,40.000,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100280908534,ゴルフパートナー,ＢＬＡＣＫ　ＭＩＬＬＥＤ　ＦＡＣＥ　ＤＩＡ　ＣＲＯＳＳ　ＳＰＩＮ　５８°／１２°,3300,オリジナルスチール,Ｃ,ＷＥＤＧＥ,ウェッジ,ＳＷ,D,,Ｃ,Ｃ,Ｃ,その他,,オリジナル　傷なし,,ヘッドカバーなし,0,,,58.00,443.00,64.00,スタンダード,,35.250,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100280908534,ゴルフパートナー,ＢＬＡＣＫ　ＭＩＬＬＥＤ　ＦＡＣＥ　ＤＩＡ　ＣＲＯＳＳ　ＳＰＩＮ　５８°／１２°,3300,オリジナルスチール,Ｃ,ＷＥＤＧＥ,ウェッジ,ＳＷ,D,,Ｃ,Ｃ,Ｃ,その他,,オリジナル　傷なし,,ヘッドカバーなし,0,,,58.00,443.00,64.00,スタンダード,,35.250,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100280908534,ゴルフパートナー,ＢＬＡＣＫ　ＭＩＬＬＥＤ　ＦＡＣＥ　ＤＩＡ　ＣＲＯＳＳ　ＳＰＩＮ　５８°／１２°,3300,オリジナルスチール,Ｃ,ＷＥＤＧＥ,ウェッジ,ＳＷ,D,,Ｃ,Ｃ,Ｃ,その他,,オリジナル　傷なし,,ヘッドカバーなし,0,,,58.00,443.00,64.00,スタンダード,,35.250,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100365158892,ミズノ,ＢＲ−Ｘ　１０．５°,19778,ＢＲ−Ｘ（ＤＲ）,Ｂ,Ｓ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,10.50,306.00,62.50,スタンダード,460,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100365158892,ミズノ,ＢＲ−Ｘ　１０．５°,19778,ＢＲ−Ｘ（ＤＲ）,Ｂ,Ｓ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,10.50,306.00,62.50,スタンダード,460,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100365158892,ミズノ,ＢＲ−Ｘ　１０．５°,19778,ＢＲ−Ｘ（ＤＲ）,Ｂ,Ｓ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,10.50,306.00,62.50,スタンダード,460,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100370513334,ミズノ,ＢＲ−Ｘ　１０．５°,17578,ＢＲ−Ｘ（ＤＲ）,Ｂ,Ｒ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｒ,,オリジナル外　良好,,純正品(普通),0,,,10.50,294.00,62.50,スタンダード,460,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100370513334,ミズノ,ＢＲ−Ｘ　１０．５°,17578,ＢＲ−Ｘ（ＤＲ）,Ｂ,Ｒ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｒ,,オリジナル外　良好,,純正品(普通),0,,,10.50,294.00,62.50,スタンダード,460,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100370513334,ミズノ,ＢＲ−Ｘ　１０．５°,17578,ＢＲ−Ｘ（ＤＲ）,Ｂ,Ｒ,ドライバー,１Ｗ,C,,Ｃ,Ｃ,Ｃ,Ｒ,,オリジナル外　良好,,純正品(普通),0,,,10.50,294.00,62.50,スタンダード,460,45.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100370870673,ミズノ,ＢＲ−Ｘ　Ｕ３,12078,ＢＲ−Ｘ,Ｂ,Ｓ,ユーティリティ,３Ｕ,B,,Ｂ,Ｂ,Ｂ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,19.00,359.00,60.00,スタンダード,119,39.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
2100370870673,ミズノ,ＢＲ−Ｘ　Ｕ３,12078,ＢＲ−Ｘ,Ｂ,Ｓ,ユーティリティ,３Ｕ,B,,Ｂ,Ｂ,Ｂ,Ｓ,,オリジナル　良好,,純正品(普通),0,,,19.00,359.00,60.00,スタンダード,119,39.500,メンズ,ゴルフパートナー　フェアモール松任店,石川県白山市幸明町１５０,076-274-6754
